Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
Akçaşehir	آقچه شهر	SÖKE					https://www.wikidata.org/wiki/Q1012854	Sancak merkezi	17. yy.				Sığla	Kaptanpaşa eyâleti	Kaza	1841				Sığla	Aydın eyâleti	Kaza	1867				Sığla	Aydın vilâyeti	Kaza	1924				Aydın																																									
Akçaşehir	آقچه شهر	AKÇAKOCA						Kaza	1841				Bolu	Kastamonu eyâleti	Nahiye	1865			Düzce	Bolu	Kastamonu vilâyeti	Nahiye	1933				Düzce	Bolu	Kaza	1934				Bolu	Kaza	1999				Düzce																																			
AKÇAŞEHİR	آقچه شهر							Kasaba				Merkez	Karaman	Konya	Kasaba		Eyâlet döneminde Eskiil ve Hatinderbendi ile ü.ü bir kaza oluşturmuştur.			Merkez	Karaman																																																						
AKÇASIR	آقچه سير	Aygün						Nahiye					Kulp	Diyarbakır																																																													
AKÇAY	آقچای							Köy				Merkez	Terme	Samsun																																																													
AKÇAY	آقچای	Kaşçiftliği						Nahiye	1958				Elmalı	Antalya																																																													
AKÇAY maa TERME	آقچای مع ترمه							Kaza	1585				Canik	Trabzon eyâleti																																																													
Akdağ	آقطاغ	Çayırşeyhi	ÇAYIRALAN					Nahiye	16. yy.			Bozok	Bozok	Zülkadriye eyâleti	Nahiye	1872			Boğazlıyan	Yozgat	Ankara vilâyeti	Nahiye	1924				Boğazlıyan	Yozgat	Kaza	1948				Yozgat																																									
AKDAĞ	آقطاغ	Zana=Çiğdemlik						Nahiye				Merkez	Amasya	Rum eyâleti	Nahiye	1924				Merkez	Amasya																																																						
AKDAĞMADENİ	آقطاغ معدنی							Nahiye	1830				Bozok	Sivas eyâleti	Kaza	1860				Bozok	Bozok eyâleti	Kaza	1872				Yozgat	Ankara vilâyeti	Kaza	1924				Yozgat																																									
AKDEMİR Şavak	آقدمير	Abşeker						Nahiye	1877			Pertek	Dersim	Mamûretülaziz vilâyeti	Nahiye	1924				Pertek	Elâzığ	Nahiye	1935				Pertek	Tunceli																																															
AKFAS	اقفاص							Kasaba						Mısır eyâleti																																																													
Akgevir	آقگوير	AKSU						Nahiye				Merkez	Diyarbakır	Diyarbakır	Köy				Merkez	Mazıdağı	Mardin																																																						
Akhisar	آقحصار	PAMUKOVA						Kaza					Hudavendigâr	Anadolu eyâleti	Nahiye	1878			Geyve	İzmit	Şehremâneti	Nahiye	1954				Geyve	Sakarya	Kaza	~1990				Sakarya																																									
AKHİSAR	آقحصار							Kaza					Saruhan	Anadolu eyâleti	Kaza	1841				Saruhan	Aydın eyâleti	Kaza	1924					Manisa																																															
AKHİSAR	آقحصار	Bogovina	İskovile=Vakıf					Kaza	1866				Travnik	Bosna vilâyeti																																																													
AKINCI	آقنجی	Kasır						Nahiye					Merkez	Mardin																																																													
AKINCILAR	آقنجيلر	Ezbider	Ezbider-i Bâlâ					Nahiye	1924			Suşehri	Karahisar-ı Şarkî	Sivas	Nahiye	1933				Suşehri	Sivas	Kaza	~1990					Sivas																																															
AKINCILAR	آقنجيلر	Tokaris						Nahiye	1877			Kâhta	Malatya	Mamûretülaziz vilâyeti	Nahiye	1924				Kâhta	Malatya	Nahiye	1954				Kâhta	Adıyaman																																															
Akıncılar	آقنجيلر	SELÇUK						Nahiye					Kuşadası	İzmir	Kaza	1957	Bir müddet “Akıncılar” adıyla anılan Selçuk, 1957’de yine “Selçuk” adıyla kaza oldu.)				İzmir																																																						
AKKA	عکا							Nahiye	1517				Safed	Arap vilâyeti	Sancak	1520					Şam eyâleti	Sancak	1660					Sayda eyâleti	Sancak	1865				Suriye vilâyeti	Sancak	1888				Beyrut vilâyeti																																			
AKKAR	آکار							Nahiye	1517				Trablus	Arap vilâyeti	Kaza	1847				Trablusşam	Sayda eyâleti	Kaza	1865					Suriye vilâyeti	Kaza	1888				Beyrut vilâyeti																																									
AKKAYA	آق قيا	Yaka						Kaza	1841				Sinop	Kastamonu eyâleti	Nahiye	1865			Merkez	Kastamonu	Kastamonu vilâyeti	Nahiye	1924				Merkez	Kastamonu																																															
AKKİRMAN	آق کيرمان	Belgorod-Dinestrouski						Sancak						Rumeli eyâleti	Sancak	1593					Özü eyâleti	Sancak						Silistre eyâleti	Sancak	1812				Rusya																																									
AKKİSİ	آق کيسی							Kaza		Şimdiki yeri belirlenemedi.			Siirt	Diyarbakır eyâleti																																																													
AKKIŞLA	آق قشله	Kuzugüdenli						Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Nahiye				Bünyan	Sivas	Sivas vilâyeti	Nahiye	1911				Bünyan	Kayseri	Kaza	~1990				Kayseri																																									
AKKÖPRÜ	آق کوپری							Kaza	~1849				Ankara	Bozok eyâleti	Nahiye	1867			Mihalıççık	Ankara	Ankara vilâyeti	Köy				Beylikahır	Mihalıççık	Eskişehir																																															
AKKÖPRÜ	آق کوپری					Şimdiki yeri belirlenemedi.		Nahiye				Gerede	Bolu	Kastamonu vilâyeti																																																													
Akköy	آق کوی	BULANCAK						Köy			Kebsil	Ordu	Canik	Rum eyâleti	Nahiye				Ordu	Ordu	Trabzon eyâleti	Nahiye	1868			Giresun	Trabzon	Trabzon vilâyeti	Nahiye	1924			Merkez	Giresun	Kaza	1934				Giresun																																			
AKKÖY	آق کوی							Kasaba				Merkez	Merkez	Denizli	Kaza	~1990					Denizli																																																						
AKKÖY	آق کوی							Nahiye		Bu nahiye bölgesinde Didim ilçesi kuruldu ve nahiyenin köyleri yeni ilçeye bağlandı.			Söke	Aydın																																																													
AKKUŞ	آق قوش	Karakuş	Yazlıkbelen					Kaza					Ordu	Sivas eyâleti	Kaza					Ordu	Trabzon eyâleti	Nahiye	1892			Ünye	Canik	Trabzon vilâyeti	Nahiye	1920			Ünye	Ordu	Kaza	1954				Ordu																																			
AKMESCİT	آق مسجد	Simferopol					https://www.wikidata.org/wiki/Q19566	Eyâlet merkezi						Kırım eyâleti (hanlığı)	Şehir		Yarımadanın merkezinde Kırım Tatar Hanlığı zamanında kurulmuş.				Rusya																																																						
AKMEŞE	آق ميشه	Armişe						Nahiye	1878			Merkez	İzmit	Şehremâneti	Nahiye	1920				Merkez	Kocaeli																																																						
AKÖREN	آق ويران	Akviran						Nahiye	1926				Çumra	Konya	Kaza	~1990					Konya																																																						
AKÖREN	آق ويران	Akviran						Nahiye	1865			Merkez	Amasya	Sivas vilâyeti	Köy				Merkez	Suluova	Amasya																																																						
AKÖREN	آق ويران	Akviran						Nahiye				Aziziye	Sivas	Sivas vilâyeti	Köy				Kaynar	Pınarbaşı	Kayseri																																																						
AKÖREN	آق ويران	Akviran						Nahiye merkezi				Mollafeneri	Gebze	Kocaeli																																																													
AKOVA	آق اووه	Bjelopolje						Kaza	1580				Yenipazar	Bosna eyâleti	Kaza	1877				Yenipazar	Kosova vilâyeti	Kaza	1913				Karadağ C.	Yugoslavya																																															
AKPALANKA	آق پلانقه	Arzerpalanka						Kasaba	1864			Merkez	Vidin	Tuna vilâyeti	Kasaba						Romanya																																																						
AKPAZAR	آق بازار	Çarsancak	Peri					Kaza	1846					Diyarbakır eyâleti	Kaza	1855				Harput	Diyarbakır eyâleti	Kaza	1877				Dersim	Mamûretülaziz vilâyeti	Nahiye	1926			Mazgirt	Elâzığ	Nahiye	1935	Sancak iken merkezi “Pertek” idi. Şimdiki merkezine kaza olunca taşındı.)		Mazgirt	Tunceli																																			
AKPINAR	آق پيگار	Hanakpınar						Nahiye					Merkez	Diyarbakır	Kaza	1937					Diyarbakır																																																						
AKPINAR	آق پيگار							Nahiye					Kaman	Kırşehir	Kaza	~1990					Kırşehir																																																						
AKPINAR	آق پيگار	Bel-izvar						Nahiye	1865			Eğridere	Gümülcine	Edirne vilâyeti	Nahiye	1919			Eğridere	Gümülcine	Yunanistan																																																						
AKPINAR	آق پيگار	Kuşkayası						Nahiye					Kangal	Sivas																																																													
AKPINAR	آق پيگار							Nahiye					Merkez	Adıyaman																																																													
AKRA	عقره							Kaza					Musul	Bağdad vilâyeti	Kaza					Musul	Irak																																																						
AKRKOF	عقرقوف							Kaza					Bağdad	Bağdad maa Şehrizor eyâleti																																																													
AKSAKAL	آق صقال							Nahiye	1957				Bandırma	Balıkesir																																																													
AKŞAR	آقشار							Nahiye	1865			Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Merkez	Suşehri	Sivas																																																						
AKŞAR	آقشار	Kosor						Nahiye					Oltu	Erzurum	Nahiye	1946				Şenkaya	Erzurum																																																						
AKŞAR	آقشار	Hakif	Şiriz					Nahiye	1878			Hizan	Bitlis	Bitlis vilâyeti	Nahiye	1935				Hizan	Bitlis																																																						
AKSARAY	آق سرای							Sancak	1525					Karaman eyâleti	Kaza	1865				Niğde	Konya vilâyeti	Müstakil sancak						Aksaray sancağı	Vilâyet	1924				Aksaray	Kaza	1933				Niğde	Vilâyet	1989			Aksaray																														
AKSAZ	آقساز							Nahiye	16. yy.			Merkez	Alâiye	Anadolu eyâleti	Köy				Merkez	Manavgat	Antalya																																																						
AKSAZ	آقساز							Nahiye	16. yy.			Anamur	İçil	Karaman eyâleti																																																													
AKŞEHİR	آقشهر							Sancak	1381					Anadolu eyâleti	Sancak	1402					Karaman eyâleti	Kaza	1864				Konya	Konya vilâyeti	Kaza	1924				Konya																																									
AKŞEHİRÂBÂD	آقشهر آباد							Nahiye		Suşehri ovası olmalıdır.		Merkez	Karahisar-ı Şarkî	Rum eyâleti																																																													
AKSEKİ	آقسکی	Nevahi-i Alâiye	Marulya					Nahiye	16. yy.			Merkez	Alâiye	Anadolu eyâleti	Kaza	~1846				Alâiye	Karaman	Kaza	1868				Teke	Konya vilâyeti	Kaza	1924				Antalya																																									
AKSU	آقصو	Anamas						Nahiye				Eğirdir	Hamid	Anadolu eyâleti	Nahiye	1924				Eğirdir	Isparta	Kaza	~1990					Isparta																																															
AKSU	آقصو	Macun						Nahiye					Merkez	Antalya																																																													
AKSU	آقصو						https://www.wikidata.org/wiki/Q421648	Şehir						Doğu Türkistan																																																													
AKTAŞ	آقطاش	Zobran						Kaza	1841				Viranşehir	Kastamonu eyâleti	Nahiye	1924			Safranbolu	Kastamonu	Kastamonu vilâyeti	Nahiye		Merkezi olan Zobran dahil tüm köyleri Karabük Merkez bucağında. Aktaş nahiyesi lağvedilerek Bu bölgede “Karabük” kurulmuştur.			Safranbolu	Zonguldak																																															
AKTEPE	آق تپه							Nahiye merkezi				Sarısu	Patnos	Ağrı																																																													
AKTUZLA	آقطوزله							Nahiye					Malazgirt	Muş																																																													
AKYAKA	آقيقا	Şuragel	Kızılçakçak					Kaza					Kars	Erzurum eyâleti	Nahiye	1926				Arpaçay	Kars	Kaza	~1990					Kars																																															
AKYAZI	آقيازی							Kaza					Hudavendigâr	Anadolu eyâleti	Nahiye	1878			Hendek	İzmit	Şehremâneti	Kaza	1944					Kocaeli	Kaza	1954				Sakarya																																									
AKYURT	آقيورد	Ravlı						Nahiye					Çubuk	Ankara	Kaza	~1990					Ankara																																																						
AKZİYARET	آق زيارت	Cülmen						Nahiye					Merkez	Şanlıurfa																																																													
ALÂ	علا							Nahiye	1865			Merkez	Hama	Suriye vilâyeti																																																													
ALÂ	علا							Nahiye	1875			El-Vech	Medine	Hicaz vilâyeti																																																													
ALACA	آلاجه	Hüseyin.b.d						Nahiye				Zile	Sivas-Tokat	Rum eyâleti	Kaza	1846				Bozok	Bozok eyâleti	Nahiye	1867			Merkez	Çorum	Ankara vilâyeti	Kaza	1919				Çorum																																									
ALACAHACI	آلاجه حاجی							Nahiye	1865			Koçkiri	Sivas	Sivas vilâyeti	Köy				Karacaören	İmranlı	Sivas																																																						
ALACAHAN	آلاجه خان							Nahiye	1865			Merkez	Sivas	Sivas vilâyeti	Nahiye	1924				Kangal	Sivas																																																						
ALACAHİSAR	آلاجه حصار	Kruşevac						Sancak	1458					Rumeli eyâleti	Sancak	1588					Bosna eyâleti	Sancak						Rumeli eyâleti	Sancak	1812				Sırp eyâleti	Sancak	1833				Osmanlı’dan çıkış																																			
ALACAKAYA	آلاجه قيا	Guleman						Köy				Merkez	Maden	Elâzığ	Kaza	1990					Elâzığ																																																						
ALACALI	آلاجه لی	Yeşilvadi						Nahiye	1926				Şile	İstanbul																																																													
ALAÇAM	آلاچام							Nahiye	1868				Bafra	Trabzon vilâyeti	Kaza	1944					Samsun																																																						
ALAÇAM	آلاچام							Nahiye				Bafra	Canik	Rum eyâleti																																																													
ALAÇAM maa HİSARCIK	آلاچام مع حصارجق							Kaza	1846				Canik	Trabzon eyâleti																																																													
ALAÇATI	آلاچاطی							Nahiye	1867			Çeşme	İzmir	Aydın vilâyeti	Nahiye	1924				Çeşme	İzmir																																																						
ALADAĞ	آلاطاغ							Kaza	16. yy.				Lârende	Karaman eyâleti	Nahiye	1924			Karaman	Konya	Konya vilâyeti	Nahiye	1926				Hadım	Konya																																															
ALADAĞ	آلاطاغ							Kaza		Karaisalı’nın Karsantı nahiyesinde kuruldu. Karsantı nahiyesinin devamı				Adana																																																													
Alagöz	آلاکوز	BAYAT						Nahiye					İskilip	Çorum	Kaza	1958					Çorum																																																						
ALAHNAS	آلاحناس					Tirebolu bölgesinde idi.		Nahiye	~1530			Kürtün	Trabzon	Rum eyâleti																																																													
Alâiye	علاءيه	ALANYA						Sancak	1471					Anadolu eyâleti	Sancak	1538					Kaptanpaşa eyâleti	Sancak	1571					Kıbrıs eyâleti	Sancak	1608				Adana eyâleti	Sancak	1846				Karaman eyâleti	Kaza	1868		Teke	Konya vilâyeti	Kaza	1924			Antalya																									
Alakilise	آلاکليسا	AKARSU						Nahiye	1865			Refahiye	Erzincan	Erzurum vilâyeti	Nahiye	1924				Refahiye	Erzincan																																																						
ALAN VE SARAY-I MİRÂBÂD	آلان وسرای مير آباد							Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																													
ALANYA	آلانيه	Alâiye						Kaza	1868					Antalya																																																													
ALAPLI	آلاپلی	Yukarıdoğancılar						Kaza	1841				Bolu	Kastamonu eyâleti	Nahiye					Ereğli	Zonguldak	Kaza	~1990					Zonguldak																																															
Alara	آلاره	ULUGÜNEY						Nahiye	1924			Merkez	Alâiye	Anadolu eyâleti	Köy				Merkez	Alanya	Antalya																																																						
ALAŞEHİR	آلا شهر	Filadelfiya						Kaza	~1530				Aydın	Anadolu eyâleti	Kaza	1867				Saruhan	Aydın vilâyeti	Kaza	1924					Manisa																																															
ALASONYA	آلا صونيه	Elasson						Kaza	1889				Serfiçe	Manastır vilâyeti	Kaza	1913					Yunanistan																																																						
ALAVNE	آلاونه							Nahiye					Nevâhi-i Erbaa	Trablusgarb	Nahiye						Libya																																																						
Albak	آلباق	BAŞKALE					https://www.wikidata.org/wiki/Q812759	Kaza	1578				Hakkâri	Van eyâleti	Kaza	1845				Van maa Hakkârî	Erzurum eyâleti	Sancak merkezi	1910				Hakkâri	Van vilâyeti	Kaza	1924				Van																																									
ALBARDO	آلباردو	Alberedo						Kasaba				Virane	Venedik	İtalya																																																													
ALBAYRAK	آلبايراق	Şikefti	Derköy					Nahiye	1888			Başkale	Hakkâri	Van vilâyeti	Nahiye	1924				Başkale	Van																																																						
ALEKSANDROPOL	آلکساندروپول							Kaza					Erivan	Ermenistan																																																													
ALEKSİNAÇ	آلکسيناچ	Alexinatz						Kaza				Niş	Sırbistan	Yugoslavya																																																													
ALELGARBİ	علی الغربی							Nahiye	1884			Merkez	Ammara	Basra vilâyeti																																																													
ALEŞŞARKÎ	علی الشرقی							Nahiye	1884			Merkez	Ammara	Basra vilâyeti																																																													
Alevî	علوی	HAKALA				Hakala nahiyesinin diğer adı olarak nahiye. Sonra lağvedilmiş, köyleri şimdi Suluova’ya bağlı. 1928’de Alevî k.yü var, şimdi yok.		Nahiye	1902			Merkez	Amasya	Sivas vilâyeti	Nahiye	1928				Merkez	Amasya																																																						
ALİAĞA	علی آغا							Nahiye					Menemen	İzmir	Kaza						İzmir																																																						
ALİBEY	علی بک	Cunda						Nahiye		Cunda, Ayvalık’ta kü.ük bir adadır. Nahiye lağvedildi.			Ayvalık	Balıkesir																																																													
ALICIK	آليجق							Nahiye	1865			Merzifon	Amasya	Sivas vilâyeti	Nahiye	1924				Merzifon	Amasya																																																						
ALİKAN	آليکان							Kaza				Hanya	Girit	Yunanistan																																																													
ALİKİ	عليکی							Nahiye		Sarıkaya ilçesi bölgesinde idi.		Bozok	Bozok	Zülkadriye eyâleti																																																													
ALİMANTAR	علی منطار							Nahiye merkezi				Elbeyli	Oğuzeli	Gaziantep																																																													
ALİNEK	آل اينک							Nahiye	1865			Erbaa	Tokat	Sivas vilâyeti	Köy				Karayaka	Erbaa	Tokat																																																						
ALİŞAR	عليشار							Nahiye	1867			Merkez	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Merkez	Şebinkarahisar	Giresun																																																						
ALİŞAR	عليشار							Nahiye				Zeytûn	Maraş	Halep vilâyeti	Köy				Merkez	Elbistan	Kahramanmaraş																																																						
ALMUS	آلموص	Büyük Almus				1772 kayıtlarına göre “Tozanlı” dan ayrı olarak “Gâvurni-Kâfirni adıyla anılmış, sonra nahiye olmuş.		Köy			Kâfirni	Tokat	Sivas-Tokat	Rum eyâleti	Nahiye	1865			Tokat	Sivas	Sivas vilâyeti	Nahiye	1924				Merkez	Tokat	Kaza	1954				Tokat																																									
ALOŞTA	آلوشته	Alouchta						Kasaba		Balıklova bölgesinde			Kırım	Rusya																																																													
ALPKÖY	آلپ کوی	Kamarik						Nahiye	1865			Kemah	Erzincan	Erzurum vilâyeti	Köy					Kemah	Erzincan																																																						
Alpsofu	آلپ صوفی	Âb-ı Safî	KARAPÜRÇEK					Kaza	1841				Kocaeli	Hudavendigâr eyâleti	Nahiye	1878			Adapazarı	İzmit	Şehremâneti	Nahiye	1954				Akyazı	Sakarya																																															
ALPU	آلپو							Köy		Cumhuriyetten önce		Merkez	Merkez	Eskişehir	Nahiye					Merkez	Eskişehir	Kaza	~1990					Eskişehir																																															
ALPULLU	آلپوللی							Nahiye	1865			Baba-yı Atik	Kırkkilise	Edirne vilâyeti	Kasaba				Merkez	Babaeski	Kırklareli																																																						
ALTIKESEK	آلتی کسک							Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Köy				Merkez	Pınarbaşı	Kayseri																																																						
ALTINAKAR	آلتون آقار							Nahiye				Merkez	Diyarbakır	Diyarbakır vilâyeti	Köy				Merkez	Çınar	Diyarbakır																																																						
ALTINBAŞAK	آلتون بشاق	Harran						Nahiye				Merkez	Ruha	Diyarbakır vilâyeti	Kaza	1867				Urfa	Halep vilâyeti	Nahiye	1946				Merkez	Şanlıurfa																																															
ALTINDAĞ	آلتون طاغ							Kaza	1953					Ankara																																																													
ALTINEKİN	آلتون اکين	Zıvarık						Nahiye					Merkez	Konya	Nahiye	1928				Cihanbeyli	Konya	Kaza	~1990					Konya																																															
ALTINHİSAR	آلتون حصار	Anduğu	Ortaköy					Kaza					Niğde	Karaman eyâleti	Nahiye	1924				Bor	Niğde	Kaza	~1990					Niğde																																															
ALTINKÖPRÜ ve MELHA	آلتون کوپری وملحه							Kaza	19. yy.				Kerkük	Bağdad maa Şehrizor eyâleti	Kaza					Kerkük	Irak																																																						
ALTINOLUK	آلتون اولوق							Nahiye					Edremit	Balıkesir																																																													
ALTINOVA	آلتون اووه	Ayazmend						Kaza	~1530				Karesi	Anadolu eyâleti	Nahiye	1841			Bergama	İzmir	Aydın eyâleti	Nahiye					Ayvalık	Balıkesir																																															
ALTINOVA	آلتون اووه							Köy				Merkez	Karamürsel	Kocaeli	Kaza	1995					Yalova																																																						
ALTINÖZÜ	آلتون اوزی							Nahiye	17. yy.			Merkez	Halep	Halep eyâleti	Kaza					Antakya	Halep	Nahiye	1865			Antakya	Halep	Halep vilâyeti	Nahiye				Antakya	Hatay	Kaza	1945				Hatay																																			
ALTINTAŞ	آلتون طاش							Nahiye	~1530			Merkez	Kütahya	Anadolu eyâleti	Nahiye	1867			Merkez	Kütahya	Hudavendigâr vilâyeti	Kaza	1946					Kütahya																																															
